Year,USDA_Yield_bu_acre,Max_NDVI,Max_NDVI_Date,Max_Temp_C,Max_Temp_Date
2015,,0.24665005044161414,2015-11-13,27.89116437475668,2015-09-05
2016,,0.5490629571905472,2016-07-10,28.759220517725748,2016-07-21
2017,,0.4702383528942983,2017-08-29,29.816021329593063,2017-07-21
2018,,0.5599363928292861,2018-06-10,29.087032559962086,2018-06-16
2019,,0.5640819502471589,2019-08-04,28.77026775285311,2019-07-19
2020,,0.47110024980650084,2020-08-13,29.524944797092026,2020-07-25
2021,,0.4807249350804519,2021-09-07,29.97787970000625,2021-07-29
2022,,0.4319088672042957,2022-06-14,31.450831020081,2022-07-19
2023,,0.5582657760471609,2023-07-29,32.02940300935237,2023-08-22
2024,,0.5387994889466695,2024-07-08,29.90349534676749,2024-08-05
